Year,Total,Predicted Emissions
1990,601.945078,591.67694
1991,609.412673,590.82764
1992,593.845922,588.1556
1993,579.612537,586.5979
1994,574.01689,583.6768
1995,566.158959,581.36365
1996,586.760676,581.7692
1997,562.708106,579.1484
1998,568.543698,577.4198
1999,561.649574,575.2238
2000,569.033716,573.44324
2001,577.970573,571.9028
2002,560.2732,568.4223
2003,571.618782,566.32196
2004,573.429762,563.9626
2005,570.33837,561.1019
2006,567.845659,552.4205
2007,559.566476,543.012
2008,544.932405,530.39825
2009,494.107701,510.4581
2010,511.904582,504.2597
2011,469.713315,471.2388
2012,487.476776,457.27893
2013,477.611268,418.55515
2014,438.807081,390.33148
2015,422.460794,390.33148
2016,399.430131,390.33148
2017,387.367141,390.33148
2018,379.729755,390.33148
2019,364.753306,390.33148
2020,326.263199,390.33148
2021,346.773181,346.77908
