Year,Total,Predicted Emissions
1990,601.945078,593.8086
1991,609.412673,592.33307
1992,593.845922,589.6352
1993,579.612537,587.6403
1994,574.01689,584.36993
1995,566.158959,581.7314
1996,586.760676,581.3517
1997,562.708106,578.38007
1998,568.543698,576.5851
1999,561.649574,574.0984
2000,569.033716,572.4194
2001,577.970573,571.51886
2002,560.2732,567.1569
2003,571.618782,565.99896
2004,573.429762,563.73956
2005,570.33837,561.33203
2006,567.845659,556.4881
2007,559.566476,546.12616
2008,544.932405,532.0974
2009,494.107701,504.18167
2010,511.904582,506.0652
2011,469.713315,480.44974
2012,487.476776,477.6226
2013,477.611268,462.50177
2014,438.807081,435.25208
2015,422.460794,417.5154
2016,399.430131,410.83508
2017,387.367141,391.43005
2018,379.729755,379.5911
2019,364.753306,362.56662
2020,326.263199,330.7841
2021,346.773181,341.55182
